date,ln_gov_exp,ln_gdp_non,ln_imports,ln_cpi,ln_credit
2017-07-01,5.376954299422668,5.975302588065554,5.391413394033035,4.580940435472332,5.587294250607357
2017-10-01,5.372997394394703,5.9879270002066445,5.416957043025081,4.587674320140796,5.580937869682662
2018-01-01,5.375522056281236,5.9491812944260785,5.414217472217543,4.595948289839486,5.542775485004189
2018-04-01,5.379330436916673,5.955995576522884,5.43232793617236,4.6029256447722,5.518256235621936
2018-07-01,5.384407907496864,5.988590566297989,5.453744536889542,4.608632924162679,5.508428976488841
2018-10-01,5.390735165446596,6.016803310794698,5.452988611491471,4.613091517846121,5.513730941784726
2019-01-01,5.398288475115876,6.00569455437851,5.396162806375077,4.616317938837719,5.533925014513222
2019-04-01,5.4074755584935135,6.000621403376561,5.3626593863449,4.6186084912743635,5.558213839804403
2019-07-01,5.41825127328011,6.017374940096267,5.370009074665231,4.619969575070598,5.586296440811332
2019-10-01,5.43056389432743,5.9934992611061855,5.356969194649887,4.620404976977479,5.617845665731198
2020-01-01,5.444355898781871,5.936114655955879,5.3320992273818195,4.61991590581279,5.652519087656383
2020-04-01,5.4565816226576,5.88696391869856,5.2931314573553765,4.62187757178955,5.6733915061998355
2020-07-01,5.467295717671527,5.925039144172349,5.311930106755074,4.626275604675351,5.681297125149677
2020-10-01,5.47654482141539,5.91359281606766,5.257726711152706,4.633078023995938,5.676541295722331
2021-01-01,5.484368271812759,5.898791856758692,5.167996150278012,4.642236006415154,5.658941012283332
2021-04-01,5.489618975690154,5.919933492325204,5.155350350639501,4.65330073014778,5.675115524974968
2021-07-01,5.4923370486877525,5.9484188365388215,5.193223084756834,4.666208668920439,5.723486563841897
2021-10-01,5.492543064267396,6.008954642674267,5.30295454020082,4.680887767041302,5.799662852705134
2022-01-01,5.490238576459432,5.9635610856089345,5.335730578065689,4.697258695571099,5.897640357612202
2022-04-01,5.487892183809874,5.985655183659256,5.409280106766789,4.714262565169612,5.979901547052018
2022-07-01,5.485503603260512,6.007132485914678,5.458627956651569,4.731863117799048,6.049405939775995
2022-10-01,5.483072545088704,5.9778028982662494,5.443025863350614,4.750024366178466,6.108261053150985
2023-01-01,5.480598712779406,6.00703965547098,5.460797107992776,4.768710760367228,6.1580098332980775
2023-04-01,5.478739314100682,5.993816879439707,5.445441869688187,4.782499915935919,6.193761732569822
2023-07-01,5.477497791442016,6.016743504118317,5.467091166389856,4.79158817276283,6.216905405597733
2023-10-01,5.476876451616918,6.010794866282962,5.4675311406370914,4.796101514021217,6.22827943162522
