date,ln_gov_exp,ln_gdp_non,ln_imports,ln_cpi,ln_credit,shock_2006,shock_2009,shock_2012,shock_2016,shock_covid
2010-07-01,5.584654016511766,5.791553335439273,5.670978289444562,4.3047580855005005,4.707496287324158,0,1,0,0,0
2010-10-01,5.559648013700079,5.806908672244837,5.706978112547468,4.335597586131505,4.753179067798939,0,1,0,0,0
2011-01-01,5.524442167062985,5.819552010038341,5.768510275271896,4.37026874084859,4.808946842103033,0,0,0,0,0
2011-04-01,5.501394498077036,5.8323858638196,5.806137269576006,4.403869379315979,4.862403037595249,0,0,0,0,0
2011-07-01,5.49138227029558,5.845400965301035,5.822386776645865,4.436466089467682,4.913749176342975,0,0,0,0,0
2011-10-01,5.494801312637709,5.858588212881304,5.81828207226734,4.46811942296321,4.963161152817848,0,0,0,0,0
2012-01-01,5.511515430837779,5.871938681599736,5.793568417263449,4.498884603489039,5.0107934127537685,0,0,0,0,0
2012-04-01,5.506159791270583,5.883068431114489,5.749283763446319,4.524210395086899,5.055159432770643,0,0,0,0,0
2012-07-01,5.478373056369253,5.89204910495686,5.682710994174675,4.544480044758345,5.096584873935578,0,0,0,0,0
2012-10-01,5.426204157939296,5.898937174218579,5.589190534168189,4.559984442842094,5.135346835012542,0,0,1,0,0
2013-01-01,5.345620797378097,5.9037751569753105,5.4608127815981025,4.5709369958401345,5.171682965818108,0,0,1,0,0
2013-04-01,5.2966122100525554,5.911053266703338,5.375490751958773,4.578707960644763,5.198224398392522,0,0,1,0,0
2013-07-01,5.284211304385306,5.920718484733266,5.346111051378963,4.583370300157028,5.215706054781923,0,0,1,0,0
2013-10-01,5.309781488669588,5.932701780343644,5.377699095359198,4.5849671574048365,5.224587576039502,0,0,1,0,0
2014-01-01,5.370552136960509,5.946919704114567,5.464864518343812,4.583513200977091,5.225095335400145,0,0,1,0,0
2014-04-01,5.413906450325297,5.958124766920207,5.511621822900911,4.583445201131514,5.237875613105871,0,0,1,0,0
2014-07-01,5.441907280057,5.966415321090499,5.5232546127497395,4.584763440435865,5.262467468839731,0,0,1,0,0
2014-10-01,5.455779088747134,5.971862498732056,5.500986588734715,4.587462449023826,5.298021279313665,0,0,0,0,0
2015-01-01,5.456099064563612,5.974512291137477,5.442444525459656,4.591531079978764,5.343391272370045,0,0,0,0,0
2015-04-01,5.456500236651504,5.979923925787302,5.410400771083718,4.592700328497543,5.365928066093169,0,0,0,0,0
2015-07-01,5.456982507287996,5.988052830047147,5.407524045015639,4.590980360139615,5.367129119362913,0,0,0,0,0
2015-10-01,5.457545759116251,5.998833097595348,5.4340634941862165,4.586356211683081,5.347071989636739,0,0,0,0,0
2016-01-01,5.458189855240401,6.012179231578025,5.4877807030084655,4.578787354371521,5.304431778989548,0,0,0,1,0
2016-04-01,5.453278704742092,6.018602604880958,5.5140128955374115,4.573559862495661,5.300371336114758,0,0,0,1,0
2016-07-01,5.4427297408770015,6.0182355281382955,5.514848954321818,4.570710843549781,5.335354440463207,0,0,0,1,0
2016-10-01,5.426362362268351,6.011070493943342,5.490353309563248,4.570260712301998,5.405519628122187,0,0,0,1,0
2017-01-01,5.403887366607206,5.996959657964972,5.438583386741944,4.572212706584255,5.503980823288529,0,0,0,1,0
2017-04-01,5.387316468640244,5.985541572281767,5.405397056629486,4.575778347770077,5.56245460216692,0,0,0,1,0
2017-07-01,5.376954299422668,5.976911452538404,5.392757536623735,4.580940435472332,5.587294250607357,0,0,0,1,0
2017-10-01,5.372997394394703,5.97114296747065,5.401452495575353,4.587674320140796,5.580937869682662,0,0,0,1,0
2018-01-01,5.375522056281236,5.9682861903565305,5.430937656686844,4.595948289839486,5.542775485004189,0,0,0,1,0
2018-04-01,5.379330436916673,5.971046662952013,5.445470910173086,4.6029256447722,5.518256235621936,0,0,0,1,0
2018-07-01,5.384407907496864,5.979378166527426,5.445691688049921,4.608632924162679,5.508428976488841,0,0,0,1,0
2018-10-01,5.390735165446596,5.9931429865615815,5.431609534896926,4.613091517846121,5.513730941784726,0,0,0,1,0
2019-01-01,5.398288475115876,6.012119357104016,5.4026055241031905,4.616317938837719,5.533925014513222,0,0,0,0,0
2019-04-01,5.4074755584935135,6.016527138857683,5.378315159894457,4.6186084912743635,5.558213839804403,0,0,0,0,0
2019-07-01,5.41825127328011,6.006559005148763,5.359108643533811,4.619969575070598,5.586296440811332,0,0,0,0,0
2019-10-01,5.43056389432743,5.9817763321808615,5.345293950647736,4.620404976977479,5.617845665731198,0,0,0,0,0
2020-01-01,5.444355898781871,5.941042587207146,5.337101272351845,4.61991590581279,5.652519087656383,0,0,0,0,1
2020-04-01,5.4565816226576,5.913999216715365,5.318725959033589,4.62187757178955,5.6733915061998355,0,0,0,0,1
2020-07-01,5.467295717671527,5.9018149730325495,5.289594253958796,4.626275604675351,5.681297125149677,0,0,0,0,1
2020-10-01,5.47654482141539,5.905040620209381,5.248744143852863,4.633078023995938,5.676541295722331,0,0,0,0,1
2021-01-01,5.484368271812759,5.923528850662311,5.194711116267451,4.642236006415154,5.658941012283332,0,0,0,0,1
2021-04-01,5.489618975690154,5.939366185545296,5.177137268350576,4.65330073014778,5.675115524974968,0,0,0,0,1
2021-07-01,5.4923370486877525,5.952671895560153,5.197964296344453,4.666208668920439,5.723486563841897,0,0,0,0,1
2021-10-01,5.492543064267396,5.963542851348115,5.2548993300801365,4.680887767041302,5.799662852705134,0,0,0,0,1
2022-01-01,5.490238576459432,5.972056001583598,5.342194037865336,4.697258695571099,5.897640357612202,0,0,0,0,0
2022-04-01,5.487892183809874,5.980084046586464,5.402996605368669,4.714262565169612,5.979901547052018,0,0,0,0,0
2022-07-01,5.485503603260512,5.98763802140484,5.441563454994272,4.731863117799048,6.049405939775995,0,0,0,0,0
2022-10-01,5.483072545088704,5.994728124632248,5.460292983948155,4.750024366178466,6.108261053150985,0,0,0,0,0
2023-01-01,5.480598712779406,6.001363768175885,5.460272800914743,4.768710760367228,6.1580098332980775,0,0,0,0,0
2023-04-01,5.478739314100682,6.006311763837977,5.460257663372353,4.782499915935919,6.193761732569822,0,0,0,0,0
2023-07-01,5.477497791442016,6.009596878266983,5.460247571550123,4.79158817276283,6.216905405597733,0,0,0,0,0
2023-10-01,5.476876451616918,6.011235397333431,5.4602425256008145,4.796101514021217,6.22827943162522,0,0,0,0,0
